LN_type,ORN_type,input_preference,n_ln_body_ids,source_LN_types,point_label,glomerulus,x_order,LN_type_mean_input_preference
lLN2T_a,ORN_DP1l,0.2358867458508902,7,lLN2T_a,ORN_DP1l,DP1l,5,0.3778182743523148
lLN2T_a,ORN_DP1m,0.47697157140869106,8,lLN2T_a,ORN_DP1m,DP1m,5,0.3778182743523148
lLN2T_a,ORN_VA3,0.3416666666666667,4,lLN2T_a,ORN_VA3,VA3,5,0.3778182743523148
lLN2T_a,ORN_VC1,0.6207131530244738,6,lLN2T_a,ORN_VC1,VC1,5,0.3778182743523148
lLN2T_a,ORN_VC3l,-0.173015873015873,7,lLN2T_a,ORN_VC3l,VC3l,5,0.3778182743523148
lLN2T_a,ORN_VL2a,0.517543051567409,8,lLN2T_a,ORN_VL2a,VL2a,5,0.3778182743523148
lLN2T_a,ORN_VL2p,0.2708653905101104,7,lLN2T_a,ORN_VL2p,VL2p,5,0.3778182743523148
lLN2T_a,ORN_VM7v,0.2417989417989418,6,lLN2T_a,ORN_VM7v,VM7v,5,0.3778182743523148
lLN2T_b,ORN_DA1,0.46075853202431044,2,lLN2T_b,ORN_DA1,DA1,6,0.34473710710753563
lLN2T_b,ORN_DC1,0.10069977811913296,2,lLN2T_b,ORN_DC1,DC1,6,0.34473710710753563
lLN2T_b,ORN_DC2,0.6440805369127517,2,lLN2T_b,ORN_DC2,DC2,6,0.34473710710753563
lLN2T_b,ORN_DC4,0.22129008202833705,2,lLN2T_b,ORN_DC4,DC4,6,0.34473710710753563
lLN2T_b,ORN_DL1,0.3853425006366183,2,lLN2T_b,ORN_DL1,DL1,6,0.34473710710753563
lLN2T_b,ORN_DL2d,0.27710843373493976,1,lLN2T_b,ORN_DL2d,DL2d,6,0.34473710710753563
lLN2T_b,ORN_DL2v,0.3614457831325301,1,lLN2T_b,ORN_DL2v,DL2v,6,0.34473710710753563
lLN2T_b,ORN_DL3,0.35345679012345677,2,lLN2T_b,ORN_DL3,DL3,6,0.34473710710753563
lLN2T_b,ORN_DL4,0.40100334448160535,2,lLN2T_b,ORN_DL4,DL4,6,0.34473710710753563
lLN2T_b,ORN_DL5,0.6152882205513784,2,lLN2T_b,ORN_DL5,DL5,6,0.34473710710753563
lLN2T_b,ORN_DM1,0.3690832756232687,2,lLN2T_b,ORN_DM1,DM1,6,0.34473710710753563
lLN2T_b,ORN_DM2,0.302536231884058,2,lLN2T_b,ORN_DM2,DM2,6,0.34473710710753563
lLN2T_b,ORN_DM3,0.2971042471042471,2,lLN2T_b,ORN_DM3,DM3,6,0.34473710710753563
lLN2T_b,ORN_DM4,0.23033183008269803,2,lLN2T_b,ORN_DM4,DM4,6,0.34473710710753563
lLN2T_b,ORN_DM6,0.39454666371092884,2,lLN2T_b,ORN_DM6,DM6,6,0.34473710710753563
lLN2T_b,ORN_DP1l,0.34558823529411764,1,lLN2T_b,ORN_DP1l,DP1l,6,0.34473710710753563
lLN2T_b,ORN_DP1m,0.5050565326633166,2,lLN2T_b,ORN_DP1m,DP1m,6,0.34473710710753563
lLN2T_b,ORN_VA3,-0.14583333333333334,2,lLN2T_b,ORN_VA3,VA3,6,0.34473710710753563
lLN2T_b,ORN_VC1,0.7033799533799534,2,lLN2T_b,ORN_VC1,VC1,6,0.34473710710753563
lLN2T_b,ORN_VC3l,0.237291280148423,2,lLN2T_b,ORN_VC3l,VC3l,6,0.34473710710753563
lLN2T_b,ORN_VL2a,0.1385408990420044,2,lLN2T_b,ORN_VL2a,VL2a,6,0.34473710710753563
lLN2T_b,ORN_VL2p,0.18544600938967137,2,lLN2T_b,ORN_VL2p,VL2p,6,0.34473710710753563
lLN2T_b,ORN_VM7v,0.545407636738906,2,lLN2T_b,ORN_VM7v,VM7v,6,0.34473710710753563
lLN2P_a,ORN_DA1,0.2520775623268698,1,lLN2P_a,ORN_DA1,DA1,7,0.33279276429555404
lLN2P_a,ORN_DC1,0.1663594470046083,2,lLN2P_a,ORN_DC1,DC1,7,0.33279276429555404
lLN2P_a,ORN_DC2,0.4108527131782945,2,lLN2P_a,ORN_DC2,DC2,7,0.33279276429555404
lLN2P_a,ORN_DC4,0.09090909090909091,1,lLN2P_a,ORN_DC4,DC4,7,0.33279276429555404
lLN2P_a,ORN_DL1,0.32142857142857145,1,lLN2P_a,ORN_DL1,DL1,7,0.33279276429555404
