combined_LN_type,glomerulus,broad_LN_group,n_ln_body_ids,orn_input_total,pn_output_weight_total,mean_pn_output_percent,sum_pn_output_percent,contra_orn_preference_weighted,same_glomerulus_convergence_score,type_order,glomerulus_order
v2LN30,VL2p,v2LN3,1,55.0,203.0,3.26839478344872,3.26839478344872,-0.01818181818181818,-0.0031603119355699586,6,10
v2LN30,DC1,v2LN3,1,111.0,159.0,2.5599742392529383,2.5599742392529383,0.08108108108108109,0.010534308832483498,6,13
v2LN30,DA1,v2LN3,1,579.0,602.0,9.692481081951376,9.692481081951376,0.34024179620034545,0.2111216041372538,6,16
v2LN30,DP1l,v2LN3,1,85.0,161.0,2.5921751730800193,2.5921751730800193,0.29411764705882354,0.03878806150247729,6,19
v2LN30,DL3,v2LN3,1,89.0,103.0,1.658348092094671,1.658348092094671,0.25842696629213485,0.01990408832474807,6,20
v2LN30,DL2v,v2LN3,1,196.0,153.0,2.4633714377716953,2.4633714377716953,0.1326530612244898,0.01645943951679001,6,21
v2LN30,DL2d,v2LN3,1,64.0,162.0,2.60827563999356,2.60827563999356,0.09375,0.012455535529665544,6,22
lLN16b,DL1,other lLN,1,27.0,0.0,,0.0,0.037037037037037035,0.0,7,3
v2LN35,DC2,v2LN3,1,25.0,1.0,0.17064846416382254,0.17064846416382254,0.2,0.0002365690036040769,8,1
v2LN35,DM4,v2LN3,1,28.0,9.0,1.3412816691505216,1.3412816691505216,0.2857142857142857,0.008824043362549036,8,11
v2LN35,DC4,v2LN3,2,173.0,3.0,0.29629469621693233,0.5925893924338647,0.3063583815028902,0.0025980201158874953,8,15
lLN2P,DP1m,lLN2P,4,238.0,147.0,1.4026030149738475,5.61041205989539,0.08403361344537813,0.01481188283276276,10,0
lLN2P,DC2,lLN2P,9,917.0,361.0,1.631135736270701,14.68022162643631,0.3980370774263904,0.20882432126496878,10,1
lLN2P,VL2a,lLN2P,5,417.0,220.0,1.8434441272865159,9.217220636432579,0.24700239808153476,0.04309352556446396,10,2
lLN2P,DL1,lLN2P,3,489.0,279.0,2.770606809324857,8.31182042797457,0.2474437627811861,0.09252466274722962,10,3
lLN2P,VC1,lLN2P,3,290.0,161.0,2.0641398743466133,6.192419623039839,0.4068965517241379,0.08986823937891418,10,4
lLN2P,DL5,lLN2P,7,493.0,196.0,1.1091076005543385,7.76375320388037,0.3306288032454361,0.08266918956600039,10,5
lLN2P,DM1,lLN2P,8,802.0,220.0,1.3079083234217252,10.463266587373802,0.17955112219451372,0.08854570761239583,10,6
lLN2P,DM6,lLN2P,6,722.0,333.0,2.5222499771115814,15.133499862669488,0.22714681440443213,0.12297099632855915,10,7
lLN2P,DM2,lLN2P,6,288.0,152.0,1.2055341458636468,7.2332048751818805,0.18055555555555555,0.07083452016344366,10,8
lLN2P,DM3,lLN2P,5,626.0,175.0,1.5370919989983396,7.685459994991698,0.22364217252396165,0.07584508730477771,10,9
lLN2P,VL2p,lLN2P,4,205.0,194.0,1.8918960809730792,7.567584323892317,0.04390243902439024,0.018553257778283597,10,10
lLN2P,DM4,lLN2P,6,626.0,284.0,1.871197843972024,11.227187063832144,0.054313099041533544,0.05934617481956099,10,11
lLN2P,VM7v,lLN2P,2,65.0,37.0,0.5405052888415545,1.081010577683109,0.47692307692307695,0.01612919975567991,10,12
lLN2P,DC1,lLN2P,9,828.0,242.0,1.1868795015462257,10.681915513916032,-0.07729468599033816,-0.026253174136686777,10,13
lLN2P,DL4,lLN2P,4,706.0,83.0,1.0389533941143805,4.155813576457522,0.18980169971671387,0.026381134208141237,10,14
lLN2P,DC4,lLN2P,7,1242.0,204.0,1.2536308532802052,8.775415972961436,0.15780998389694043,0.06138958185792106,10,15
lLN2P,DA1,lLN2P,7,1166.0,560.0,3.1778826841389125,22.24517878897239,0.1595197255574614,0.1492006308605467,10,16
lLN2P,VC3,lLN2P,6,255.0,268.0,2.080273605423229,12.481641632539374,0.1450980392156863,-0.03381434283337113,10,18
lLN2P,DP1l,lLN2P,3,157.0,222.0,2.717102798527628,8.151308395582884,-0.04458598726114647,-0.04176165201551657,10,19
lLN2P,DL3,lLN2P,3,869.0,230.0,2.743930216066159,8.231790648198476,0.026467203682393557,-0.01904907695656847,10,20
lLN2P,DL2v,lLN2P,6,333.0,125.0,0.5980728907220737,3.588437344332442,-0.03903903903903904,-0.01683549571274787,10,21
lLN2P,DL2d,lLN2P,3,177.0,104.0,0.8373026099062927,2.511907829718878,0.03954802259887006,0.0032121477588608516,10,22
lLN1,DP1m,lLN1,1,77.0,115.0,2.4619995718261616,2.4619995718261616,-0.2987012987012987,-0.03495801965561571,11,0
lLN1,VL2a,lLN1,2,191.0,123.0,1.50470672075941,3.00941344151882,0.6544502617801047,0.07748008862083212,11,2
lLN1,DM1,lLN1,1,39.0,20.0,0.5452562704471101,0.5452562704471101,-0.02564102564102564,-0.00042565255120144044,11,6
lLN1,DM2,lLN1,1,39.0,21.0,0.5974395448079659,0.5974395448079659,0.5897435897435898,0.010890859721866483,11,8
lLN1,DM3,lLN1,1,61.0,52.0,1.1494252873563218,1.1494252873563218,0.11475409836065574,0.005236865158256049,11,9
lLN1,DL4,lLN1,1,282.0,34.0,0.8254430687059966,0.8254430687059966,-0.04964539007092199,-0.0014569618368337706,11,14
