bodyid,pre,post,upstream,downstream,status,name,voxels,soma,side,connectivity.type,cell.type,group,anatomy.group,class,cellBodyFiber,layer,ct.layer,axon.outputs,dend.outputs,axon.inputs,dend.inputs,total.length,axon.length,dend.length,pd.length,segregation_index,notes,ALR_n_inputs,ALR_n_ipsi_inputs,ALR_n_contra_inputs,ALL_n_inputs,ALL_n_ipsi_inputs,ALL_n_contra_inputs
1671257931,2315,9858,9858,9059,Traced,lLN2P_b(Patchy)_R,2825221348,True,right,lLN2P_b,lLN2P,lLN2P,l_LN_patchy_,ALLN_patchy,AVM02,2.404,2,3741,5318,3852,5989,13642.1834316359,4155.64655414924,5777.15247159865,62.9504444115464,0.0003477758070897,Type: patchy LNs belonging to the LN2 type (Tanaka et al. 2012). Group: patchy LNs belonging to the LN2 type (Tanaka et al. 2012),1421,692,729,0,0,0
2105086391,982,5393,5393,4523,Traced,lLN2P_c(Patchy)_R,1743455258,True,right,lLN2P_c,lLN2P,lLN2P,l_LN_patchy_,ALLN_patchy,AVM02,2.751,3,1894,2580,2235,3131,8103.24385654688,2597.49849684939,3518.54802047189,62.9785984948244,3.43932531857716e-05,Type: patchy LNs belonging to the LN2 type (Tanaka et al. 2012). Group: patchy LNs belonging to the LN2 type (Tanaka et al. 2012),572,320,252,0,0,0
1857799548,884,6992,6992,5112,Traced,lLN2P_a(Patchy)_R,1662027779,True,right,lLN2P_a,lLN2P,lLN2P,l_LN_patchy_,ALLN_patchy,AVM02,2.425,2,2965,2149,3994,2969,9146.10524039322,4247.42465683478,2725.49684532933,65.5892931884344,2.80044450672312e-05,Type: patchy LNs belonging to the LN2 type (Tanaka et al. 2012). Group: patchy LNs belonging to the LN2 type (Tanaka et al. 2012),1224,553,671,0,0,0
1671270875,291,622,622,1484,Traced,lLN12b_R,428473679,True,right,lLN12B,lLN12B,lLN10-17,l_LN_sparse_,ALLN_sparse,AVM02,2.206,2,1184,278,215,368,1565.69546369736,791.557684259823,365.517712592087,86.2863415070487,0.147730806008359,"Type: sparse LNs that innervate the same are of the AL, have a small more densely innervated area. Group: sparse LNs that innervate the same are of the AL, have a small more densely innervated area",30,14,16,0,0,0
5812996027,232,714,714,1593,Traced,lLN12b_R,371499875,True,right,lLN12B,lLN12B,lLN10-17,l_LN_sparse_,ALLN_sparse,AVM02,2.488,2,643,952,120,591,1596.3118113696,313.306374530345,984.748952768299,19.1014719066648,0.0460795904329754,"Type: sparse LNs that innervate the same are of the AL, have a small more densely innervated area. Group: sparse LNs that innervate the same are of the AL, have a small more densely innervated area",9,7,2,0,0,0
1826825128,158,410,410,1046,Traced,lLN13_R,322862968,True,right,lLN13,lLN13,lLN10-17,l_LN_sparse_,ALLN_sparse,AVM02,2.615,3,516,516,95,311,1246.58448559103,248.53052511268,751.181447548588,37.5372174404827,0.0517026219477951,Type: regional or sparse LNs with a similar split into two main branches and innervate the same area of the AL. Group: regional or sparse LNs with a similar split into two main branches and innervate the same area of the AL,52,33,19,0,0,0
1887867926,196,353,353,1342,Traced,lLN13_R,341885117,True,right,lLN13,lLN13,lLN10-17,l_LN_sparse_,ALLN_sparse,AVM02,2.877,3,676,670,81,266,1264.67168123632,266.680695487012,731.13988431464,42.2200638276344,0.0494931989296707,Type: regional or sparse LNs with a similar split into two main branches and innervate the same area of the AL. Group: regional or sparse LNs with a similar split into two main branches and innervate the same area of the AL,25,24,1,0,0,0
5901194966,158,345,345,1126,Traced,lLN13_R,294325329,True,right,lLN13,lLN13,lLN10-17,l_LN_sparse_,ALLN_sparse,AVM02,2.472,3,724,404,101,239,1315.82678033162,319.190150556025,721.499831890012,35.4555693840127,0.0799734310754732,Type: regional or sparse LNs with a similar split into two main branches and innervate the same area of the AL. Group: regional or sparse LNs with a similar split into two main branches and innervate the same area of the AL,44,33,11,0,0,0
1951971057,82,250,250,632,Traced,lLN14_R,262041233,True,right,lLN14,lLN14,lLN10-17,l_LN_sparse_,ALLN_sparse,AVM02,2.086,2,602,4,27,212,986.517111951814,248.520531661418,440.314087484771,80.6967343695873,0.739050557400392,"Type: very weakly innervating sparse LN, one half with bead-like structure. Group: very weakly innervating sparse LN, one half with bead-like structure",28,22,6,0,0,0
1702323388,78,200,200,452,Traced,lLN14_R,159703841,False,right,lLN14,lLN14,lLN10-17,l_LN_sparse_,ALLN_sparse,,2.489,2,443,4,84,115,1009.23445436552,321.780129070006,434.358512908991,58.6585417557202,0.37662990832012,"Type: very weakly innervating sparse LN, one half with bead-like structure. Group: very weakly innervating sparse LN, one half with bead-like structure",36,31,5,0,0,0
