root_id,analysis_body_ids,analysis_instances,analysis_hemispheres,analysis_neuropils,primary_flywire_name,comparison_name,recommended_match_group,hemibrain_type_names,hemibrain_family_names,all_names,cell_type,hemibrain_type,user_tags,flow,super_class,cell_class,cell_sub_class,morphology_group,side,top_nt,top_nt_conf,known_nt,known_nt_source
720575940631526215,7205759406315262151;7205759406315262152,CB1266_L;CB1266_R,L;R,AL_L;AL_R,CB1266,CB1266,CB1266,,,AL local neuron;ALLN;CB1266,CB1266,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALv2__1,right,acetylcholine,0.4281123195893617,,
720575940618076214,7205759406180762142,CB1285_R,R,AL_R,CB1285,CB1285,CB1285,,,CB1285,CB1285,,,intrinsic,central,ALLN,,ALl1_dorsal__0,right,gaba,0.5804503046956879,,
720575940618681168,7205759406186811681,CB1285_L,L,AL_L,CB1285,CB1285,CB1285,,,AL local neuron;ALLN;CB1285,CB1285,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,left,gaba,0.6620361464739397,,
720575940619954112,7205759406199541122,CB1285_R,R,AL_R,CB1285,CB1285,CB1285,,,AL local neuron;ALLN;CB1285,CB1285,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,right,gaba,0.5174472441454527,,
720575940621832001,7205759406218320012,CB1285_R,R,AL_R,CB1285,CB1285,CB1285,,,AL local neuron;ALLN;CB1285,CB1285,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,right,gaba,0.6447517206214063,,
720575940625555749,,,,,CB1285,CB1285,CB1285,,,AL local neuron;ALLN;CB1285,CB1285,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,right,gaba,0.3313336531293819,,
720575940630575375,7205759406305753751,CB1285_L,L,AL_L,CB1285,CB1285,CB1285,,,AL local neuron;ALLN;CB1285,CB1285,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,left,gaba,0.6556468557280527,,
720575940633189145,7205759406331891451,CB1285_L,L,AL_L,CB1285,CB1285,CB1285,,,AL local neuron;ALLN;CB1285,CB1285,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,left,gaba,0.3921675177644634,,
720575940637846947,7205759406378469472,CB1285_R,R,AL_R,CB1285,CB1285,CB1285,,,AL local neuron;ALLN;CB1285,CB1285,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,right,gaba,0.4813119301286983,,
720575940606745266,7205759406067452661,CB1473_L,L,AL_L,CB1473,CB1473,CB1473,,,AL local neuron;ALLN;CB1473,CB1473,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,left,gaba,0.4412975512084807,,
720575940610426578,7205759406104265782,CB1473_R,R,AL_R,CB1473,CB1473,CB1473,,,AL local neuron;ALLN;CB1473,CB1473,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,right,acetylcholine,0.4121380374666256,,
720575940613575958,7205759406135759581,CB1473_L,L,AL_L,CB1473,CB1473,CB1473,,,AL local neuron;ALLN;CB1473,CB1473,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,left,gaba,0.4011015409059457,,
720575940617938752,7205759406179387521,CB1473_L,L,AL_L,CB1473,CB1473,CB1473,,,AL local neuron;ALLN;CB1473,CB1473,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,left,gaba,0.4070506520199837,,
720575940630723384,7205759406307233841,CB1473_L,L,AL_L,CB1473,CB1473,CB1473,,,AL local neuron;ALLN;CB1473,CB1473,,"AL local neuron,ALLN",intrinsic,central,ALLN,,ALl1_dorsal__0,left,gaba,0.3916755291200077,,
