id,pre_pt_supervoxel_id,pre_pt_root_id,post_pt_supervoxel_id,post_pt_root_id,target_id,neuropil,pre_cell_type,pre_hemibrain_type,pre_side,glomerulus,pre_cell_sub_class,target_group,target_cell_type,target_hemibrain_type,target_side
101738027,83107480208690631,720575940622726271,83107480208681191,720575940634792884,101738027,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PD2a1_b1,CB2842,LHPD2a1,right
232264660,76351943396067777,720575940618308825,76351943396070079,720575940617903617,232264660,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PV5a1,,LHPV5a1,left
84674204,76562980841962237,720575940618308825,76562980841973905,720575940614182398,84674204,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PV5a1,,LHPV5a1,left
20896721,76563255786943784,720575940618308825,76563255786949016,720575940614182398,20896721,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PV5a1,,LHPV5a1,left
21731453,76281437212784807,720575940618308825,76281437212793051,720575940614182398,21731453,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PV5a1,,LHPV5a1,left
232261695,76281574651897020,720575940618308825,76281574651908824,720575940614182398,232261695,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PV5a1,,LHPV5a1,left
238639577,76351805956969600,720575940618308825,76351805956958894,720575940614182398,238639577,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PV5a1,,LHPV5a1,left
41930091,82826142670998190,720575940622726271,82826142670999393,720575940636488110,41930091,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
175158879,76351943462798535,720575940618308825,76351943462808412,720575940621359988,175158879,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PV5a1,,LHPV5a1,left
7755540,83178055111108066,720575940622726271,83178055111108103,720575940617540509,7755540,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
62180200,76633555878525655,720575940618308825,76633555878524356,720575940631234575,62180200,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PV5a1,,LHPV5a1,left
232984591,76281643371363789,720575940618308825,76281643371368707,720575940617903617,232984591,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PV5a1,,LHPV5a1,left
237676349,76914687190895057,720575940618308825,76914687190924484,720575940621359988,237676349,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PV5a1,,LHPV5a1,left
41472348,82333492742299097,720575940622726271,82333492742300250,720575940636488110,41472348,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PV5a1,,LHPV5a1,right
58356980,76844524672190919,720575940618308825,76844524672198068,720575940621359988,58356980,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PV5a1,,LHPV5a1,left
6200505,82685611340808093,720575940612699761,82685611340816407,720575940632389028,6200505,LH_R,,DM6_adPN,right,DM6,uniglomerular,PD2a1_b1,CB0339,LHPD2b1,right
175159225,76351943462780563,720575940618308825,76351943462778091,720575940621359988,175159225,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PV5a1,,LHPV5a1,left
67354204,76563049695292183,720575940618308825,76563049695312287,720575940630050391,67354204,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PD2a1_b1,CB2842,LHPD2a1,left
143842150,82403792767008830,720575940622726271,82403792767018692,720575940634792884,143842150,LH_R,,DP1m_adPN,right,DP1m,uniglomerular,PD2a1_b1,CB2842,LHPD2a1,right
110551604,76422380859694406,720575940618308825,76422380859691852,720575940631225871,110551604,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PV5a1,,LHPV5a1,left
22620829,76774224580500932,720575940618308825,76774224580501910,720575940630050391,22620829,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PD2a1_b1,CB2842,LHPD2a1,left
155906161,76281574651931849,720575940618308825,76281574651933091,720575940621359988,155906161,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PV5a1,,LHPV5a1,left
4874359,76281574651524435,720575940618308825,76281574651533250,720575940617903617,4874359,LH_L,,DP1m_adPN,left,DP1m,uniglomerular,PV5a1,,LHPV5a1,left
