target_group,bodyId_pre,bodyId_post,weight,type_pre,type_post,instance_pre,instance_post,conn_roiInfo,target_type,target_instance
PD2a1_b1,760268555,548872750,1,LHPD2a9,LHPD2b1_a,LHPD2a9_R,LHPD2b1_a_R,"{'SNP(R)': {'post': 1}, 'SLP(R)': {'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,760268555,571666434,1,LHPD2a9,LHPD2a1,LHPD2a9_R,LHPD2a1_R,"{'SNP(R)': {'pre': 1, 'post': 1}, 'SIP(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,760541793,548872750,1,LHAV4a1_a,LHPD2b1_a,LHAV4a1_a_R,LHPD2b1_a_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,760541793,571666400,1,LHAV4a1_a,LHPD2b1_b,LHAV4a1_a_R,LHPD2b1_b_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,760902933,573329304,1,LHAV4g16_b,LHPD2a1,LHAV4g16_b_R,LHPD2a1_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,760902933,573337611,1,LHAV4g16_b,LHPD2a1,LHAV4g16_b_R,LHPD2a1_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,761580655,509928512,1,LHAV4a7,LHPD2b1_a,LHAV4a7_R,LHPD2b1_a_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,761580655,573337611,1,LHAV4a7,LHPD2a1,LHAV4a7_R,LHPD2a1_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,763730414,571666400,1,M_smPNm1,LHPD2b1_b,M_smPNm1_L,LHPD2b1_b_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,764339342,571666434,1,LHCENT13_d,LHPD2a1,LHCENT13_d_R,LHPD2a1_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,764408961,571666400,1,LHAV6b2_b,LHPD2b1_b,LHAV6b2_b_R,LHPD2b1_b_R,"{'LH(R)': {'pre': 1, 'post': 1}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,767502579,5813089504,1,KCab-c,LHPD2b1_a,KCab-c_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 1, 'post': 1}, 'CA(R)': {'pre': 1, 'post': 1}, 'MB(+ACA)(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,767502657,509928512,1,KCab-c,LHPD2b1_a,KCab-c_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 1, 'post': 1}, 'CA(R)': {'pre': 1, 'post': 1}, 'MB(+ACA)(R)': {'pre': 1, 'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,767878191,640963556,1,SMP208,LHPD2a1,SMP208_R,LHPD2a1_R,"{'SNP(R)': {'pre': 1, 'post': 1}, 'SIP(R)': {'pre': 1, 'post': 1}}",LHPD2a1,LHPD2a1_R
