target_group,bodyId_pre,bodyId_post,weight,type_pre,type_post,instance_pre,instance_post,conn_roiInfo,target_type,target_instance
PD2a1_b1,1793014716,509928512,9,DL2d_adPN,LHPD2b1_a,DL2d_adPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 9, 'post': 9}, 'CA(R)': {'pre': 9, 'post': 9}, 'MB(+ACA)(R)': {'pre': 9, 'post': 9}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,5813039465,571666434,9,DL2v_adPN,LHPD2a1,DL2v_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 9, 'post': 9}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,630714299,571666400,8,DM2_lPN,LHPD2b1_b,DM2_lPN_R,LHPD2b1_b_R,"{'LH(R)': {'pre': 8, 'post': 8}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,788648194,509928512,8,DL2d_adPN,LHPD2b1_a,DL2d_adPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 8, 'post': 8}, 'CA(R)': {'pre': 8, 'post': 8}, 'MB(+ACA)(R)': {'pre': 8, 'post': 8}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,1734420152,571666400,8,DL2v_adPN,LHPD2b1_b,DL2v_adPN_R,LHPD2b1_b_R,"{'LH(R)': {'pre': 8, 'post': 8}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,1977579449,571666400,8,VA2_adPN,LHPD2b1_b,VA2_adPN_R,LHPD2b1_b_R,"{'LH(R)': {'pre': 8, 'post': 8}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,1977579449,5813089504,8,VA2_adPN,LHPD2b1_a,VA2_adPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 8, 'post': 8}, 'CA(R)': {'pre': 8, 'post': 8}, 'MB(+ACA)(R)': {'pre': 8, 'post': 8}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,574037281,548872750,7,VA5_lPN,LHPD2b1_a,VA5_lPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 7, 'post': 7}, 'CA(R)': {'pre': 7, 'post': 7}, 'MB(+ACA)(R)': {'pre': 7, 'post': 7}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,630714299,548872750,7,DM2_lPN,LHPD2b1_a,DM2_lPN_R,LHPD2b1_a_R,"{'LH(R)': {'pre': 4, 'post': 4}, 'MB(R)': {'pre': 3, 'post': 3}, 'CA(R)': {'pre': 3, 'post': 3}, 'MB(+ACA)(R)': {'pre': 3, 'post': 3}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,630714299,5813089504,7,DM2_lPN,LHPD2b1_a,DM2_lPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 7, 'post': 7}, 'CA(R)': {'pre': 7, 'post': 7}, 'MB(+ACA)(R)': {'pre': 7, 'post': 7}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,755518957,548872750,7,DM3_adPN,LHPD2b1_a,DM3_adPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 7, 'post': 7}, 'CA(R)': {'pre': 7, 'post': 7}, 'MB(+ACA)(R)': {'pre': 7, 'post': 7}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,1692817033,573329304,7,VA7l_adPN,LHPD2a1,VA7l_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 7, 'post': 7}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,1857825571,5813089504,7,DC3_adPN,LHPD2b1_a,DC3_adPN_R,LHPD2b1_a_R,"{'MB(R)': {'pre': 4, 'post': 4}, 'CA(R)': {'pre': 4, 'post': 4}, 'MB(+ACA)(R)': {'pre': 4, 'post': 4}, 'INP': {'pre': 3, 'post': 2}, 'SCL(R)': {'pre': 3, 'post': 2}, 'mALT(R)': {'post': 1}}",LHPD2b1_a,LHPD2b1_a_R
PD2a1_b1,1889253785,571666400,7,VA3_adPN,LHPD2b1_b,VA3_adPN_R,LHPD2b1_b_R,"{'LH(R)': {'pre': 7, 'post': 7}}",LHPD2b1_b,LHPD2b1_b_R
PD2a1_b1,5901222910,573337611,7,DM2_lPN,LHPD2a1,DM2_lPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 7, 'post': 7}}",LHPD2a1,LHPD2a1_R
PD2a1_b1,573333835,571666434,6,DM4_adPN,LHPD2a1,DM4_adPN_R,LHPD2a1_R,"{'LH(R)': {'pre': 6, 'post': 6}}",LHPD2a1,LHPD2a1_R
