glomerulus,pre_pt_root_id,pre_hemibrain_type,pre_cell_type,pre_side,target_group,weight,n_target_roots
VM7v,720575940608628419,VM7v_adPN,,right,PD2a1_b1,7,1
VM7v,720575940619337536,VM7v_adPN,,left,PD2a1_b1,4,1
VM7v,720575940619337536,VM7v_adPN,,left,PV5a1,3,1
VM7v,720575940621256212,VM7v_adPN,,left,PD2a1_b1,5,1
VM7v,720575940621256212,VM7v_adPN,,left,PV5a1,15,3
mPN,720575940604418988,M_spPN5t10,,right,PD2a1_b1,2,2
mPN,720575940604985265,M_vPNml84,,right,PD2a1_b1,1,1
mPN,720575940604985265,M_vPNml84,,right,PV5a1,1,1
mPN,720575940606498313,M_lvPNm41,,right,PD2a1_b1,5,1
mPN,720575940606757041,M_lvPNm24,,left,PD2a1_b1,2,1
mPN,720575940606767806,M_vPNml57,,left,PV5a1,2,2
mPN,720575940607195826,M_lvPNm39,,left,PD2a1_b1,10,3
mPN,720575940607195826,M_lvPNm39,,left,PV5a1,12,4
mPN,720575940607198898,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,right,PD2a1_b1,3,2
mPN,720575940607198898,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,right,PV5a1,1,1
mPN,720575940608124338,M_vPNml50,,left,PD2a1_b1,2,2
mPN,720575940608124338,M_vPNml50,,left,PV5a1,11,4
mPN,720575940610070442,"M_lPNm12,M_lPNm13","(M_lPNm12,M_lPNm13)b",right,PD2a1_b1,24,3
mPN,720575940611856498,M_lvPNm41,,right,PD2a1_b1,7,1
mPN,720575940612320498,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,left,PV5a1,12,4
mPN,720575940612433614,M_adPNm8,,left,PV5a1,7,3
mPN,720575940612468594,M_smPN6t2,,left,PD2a1_b1,2,1
mPN,720575940613058802,M_adPNm8,,right,PD2a1_b1,2,1
mPN,720575940613751186,M_lvPNm31,,left,PD2a1_b1,2,2
mPN,720575940613864891,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,left,PV5a1,22,7
mPN,720575940614009827,M_adPNm7,,left,PV5a1,1,1
mPN,720575940615462978,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left,PD2a1_b1,2,1
mPN,720575940615529414,M_spPN4t9,,right,PD2a1_b1,2,1
mPN,720575940616800780,"M_lvPNm30,M_lvPNm32",CB2161,left,PD2a1_b1,1,1
mPN,720575940617030178,M_lvPNm29,,left,PD2a1_b1,2,1
mPN,720575940617030178,M_lvPNm29,,left,PV5a1,1,1
mPN,720575940617109772,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,PD2a1_b1,1,1
mPN,720575940617109772,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,PV5a1,16,5
mPN,720575940617381681,"M_lPNm12,M_lPNm13","(M_lPNm12,M_lPNm13)b",right,PD2a1_b1,2,1
mPN,720575940618087197,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,right,PV5a1,2,2
mPN,720575940619417326,M_vPNml80,,left,PV5a1,1,1
mPN,720575940620024396,M_vPNml84,,right,PV5a1,1,1
mPN,720575940620233307,"M_lPNm12,M_lPNm13","(M_lPNm12,M_lPNm13)a",right,PD2a1_b1,14,2
mPN,720575940620610217,M_vPNml84,,left,PV5a1,1,1
mPN,720575940620725720,M_lvPNm41,,left,PD2a1_b1,4,1
mPN,720575940620840368,M_lvPNm41,,left,PD2a1_b1,1,1
mPN,720575940621141542,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,PD2a1_b1,2,2
mPN,720575940621141542,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,PV5a1,37,7
mPN,720575940621196224,M_spPN5t10,,left,PD2a1_b1,1,1
mPN,720575940621414676,M_lvPNm31,,right,PD2a1_b1,2,2
mPN,720575940621414676,M_lvPNm31,,right,PV5a1,1,1
mPN,720575940622334448,M_spPN5t10,,right,PD2a1_b1,1,1
mPN,720575940622793310,M_lvPNm25,,right,PD2a1_b1,2,2
mPN,720575940622793310,M_lvPNm25,,right,PV5a1,3,1
mPN,720575940622904069,"M_vPNml56,M_vPNml58",CB2004,left,PV5a1,1,1
mPN,720575940623872263,M_vPNml84,,right,PV5a1,1,1
mPN,720575940623897613,M_vPNml57,,right,PD2a1_b1,8,2
mPN,720575940623897613,M_vPNml57,,right,PV5a1,4,2
mPN,720575940624695629,M_l2PNm17,,left,PD2a1_b1,1,1
mPN,720575940625040053,M_lvPNm26,,left,PD2a1_b1,1,1
mPN,720575940625056509,"M_ilPNm90,M_ilPN8t91",,left,PD2a1_b1,1,1
mPN,720575940626657802,M_vPNml55,,right,PD2a1_b1,2,1
mPN,720575940626768656,"M_lPNm12,M_lPNm13","(M_lPNm12,M_lPNm13)b",right,PD2a1_b1,3,1
mPN,720575940626852400,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,left,PV5a1,9,4
mPN,720575940626917393,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,PD2a1_b1,2,1
mPN,720575940626917393,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,PV5a1,19,5
mPN,720575940626959134,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,left,PD2a1_b1,2,1
mPN,720575940626959134,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,left,PV5a1,29,8
mPN,720575940627129290,M_vPNml50,,right,PV5a1,29,5
mPN,720575940627239946,M_vPNml72,,right,PV5a1,1,1
mPN,720575940627244986,M_adPNm8,,left,PD2a1_b1,3,2
mPN,720575940627244986,M_adPNm8,,left,PV5a1,1,1
mPN,720575940627677017,M_lvPNm24,,right,PD2a1_b1,1,1
mPN,720575940627677017,M_lvPNm24,,right,PV5a1,1,1
mPN,720575940627958889,M_vPNml51,,right,PD2a1_b1,1,1
mPN,720575940628059948,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,PD2a1_b1,2,2
mPN,720575940628059948,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,PV5a1,32,6
mPN,720575940628200506,M_l2PNl21,,left,PD2a1_b1,33,3
mPN,720575940628200506,M_l2PNl21,,left,PV5a1,9,3
mPN,720575940628420008,M_lvPNm25,,left,PD2a1_b1,2,1
mPN,720575940628834832,M_lvPNm28,,right,PD2a1_b1,3,2
mPN,720575940629083211,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left,PD2a1_b1,1,1
mPN,720575940629083211,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left,PV5a1,2,1
mPN,720575940629874806,M_lvPNm28,,left,PD2a1_b1,2,2
mPN,720575940629874806,M_lvPNm28,,left,PV5a1,1,1
mPN,720575940629963855,"M_ilPNm90,M_ilPN8t91",,right,PD2a1_b1,1,1
mPN,720575940630093051,M_vPNml68,,left,PD2a1_b1,1,1
mPN,720575940630093051,M_vPNml68,,left,PV5a1,2,1
mPN,720575940631274770,M_smPN6t2,,right,PD2a1_b1,2,2
mPN,720575940631630021,M_vPNml50,,left,PD2a1_b1,3,3
mPN,720575940631630021,M_vPNml50,,left,PV5a1,11,5
mPN,720575940631633401,M_adPNm8,,right,PD2a1_b1,2,1
mPN,720575940631633401,M_adPNm8,,right,PV5a1,10,3
mPN,720575940631683927,M_l2PNl20,,right,PD2a1_b1,4,3
mPN,720575940631725561,M_lvPNm25,,left,PV5a1,1,1
mPN,720575940631942999,"M_vPNml56,M_vPNml58",CB2004,left,PD2a1_b1,3,2
mPN,720575940631942999,"M_vPNml56,M_vPNml58",CB2004,left,PV5a1,4,3
mPN,720575940632463464,M_vPNml51,,left,PD2a1_b1,2,1
mPN,720575940632463464,M_vPNml51,,left,PV5a1,3,2
mPN,720575940632721306,M_vPNml84,,left,PV5a1,1,1
mPN,720575940632890681,M_lvPNm42,,right,PD2a1_b1,3,1
mPN,720575940633036369,M_lvPNm29,,right,PD2a1_b1,3,2
mPN,720575940634834544,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,left,PD2a1_b1,2,2
mPN,720575940634834544,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,left,PV5a1,25,8
mPN,720575940635209884,"M_lPNm12,M_lPNm13","(M_lPNm12,M_lPNm13)a",left,PD2a1_b1,14,2
mPN,720575940635465396,M_vPNml69,,right,PD2a1_b1,2,1
mPN,720575940636096948,M_lvPNm42,,right,PD2a1_b1,4,1
mPN,720575940636944966,M_vPNml84,,left,PV5a1,1,1
mPN,720575940637632654,"M_vPNml56,M_vPNml58",CB2004,right,PD2a1_b1,3,2
mPN,720575940638689001,M_lvPNm29,,left,PD2a1_b1,12,2
mPN,720575940638689001,M_lvPNm29,,left,PV5a1,2,2
mPN,720575940639138237,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left,PD2a1_b1,11,2
mPN,720575940639138237,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,left,PV5a1,2,2
mPN,720575940639479366,M_lvPNm39,,right,PD2a1_b1,6,2
mPN,720575940639479366,M_lvPNm39,,right,PV5a1,11,5
mPN,720575940640007296,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,left,PD2a1_b1,1,1
mPN,720575940640007296,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,left,PV5a1,35,7
mPN,720575940640094592,M_vPNml84,,right,PD2a1_b1,1,1
mPN,720575940640094592,M_vPNml84,,right,PV5a1,4,3
mPN,720575940640372021,M_vPNml50,,right,PV5a1,14,5
mPN,720575940640639293,M_lvPNm24,,left,PD2a1_b1,6,1
mPN,720575940640639293,M_lvPNm24,,left,PV5a1,1,1
mPN,720575940640835672,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,PD2a1_b1,1,1
mPN,720575940640835672,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB1296,right,PV5a1,43,7
mPN,720575940645680407,M_lvPNm26,,left,PD2a1_b1,1,1
mPN,720575940650946425,"M_vPNml85,M_vPNml88,M_vPNml89,DM3_vPN",CB2589,right,PD2a1_b1,9,2
