source_root_id,analysis_body_id,LN_instance,LN_type,analysis_hemisphere,neuropil,orn_synapses_in_hemisphere,pn_synapses_in_hemisphere,all_output_synapses_in_hemisphere
720575940616642790,7205759406166427901,lLN13_L,lLN13,L,AL_L,19,338,1627
720575940637183454,7205759406371834542,CB1686_R,CB1686,R,AL_R,67,333,1428
720575940625956483,7205759406259564831,CB2571_L,CB2571,L,AL_L,12,65,834
720575940631591199,7205759406315911991,v2LN34E_L,v2LN34E,L,AL_L,1,129,874
720575940610426578,7205759406104265782,CB1473_R,CB1473,R,AL_R,72,414,1501
720575940611944914,7205759406119449141,lLN2P_a_L,lLN2P_a,L,AL_L,995,873,6252
720575940652063734,7205759406520637342,CB1673_R,CB1673,R,AL_R,12,71,1555
720575940614618683,7205759406146186831,v2LN34E_L,v2LN34E,L,AL_L,3,126,1026
720575940614618683,7205759406146186832,v2LN34E_R,v2LN34E,R,AL_R,2,30,245
720575940635847269,7205759406358472691,lLN9_L,lLN9,L,AL_L,5,26,138
720575940635847269,7205759406358472692,lLN9_R,lLN9,R,AL_R,29,224,833
720575940611379569,7205759406113795691,lLN2T_b_L,lLN2T_b,L,AL_L,8066,2890,17687
720575940611098595,7205759406110985951,v2LN34E_L,v2LN34E,L,AL_L,4,74,860
720575940634127456,7205759406341274561,v2LN34E_L,v2LN34E,L,AL_L,1,21,290
720575940634127456,7205759406341274562,v2LN34E_R,v2LN34E,R,AL_R,7,104,1074
720575940620234177,7205759406202341771,CB1673_L,CB1673,L,AL_L,11,82,1668
720575940629508652,7205759406295086521,CB3575_L,CB3575,L,AL_L,7,168,1412
720575940629508652,7205759406295086522,CB3575_R,CB3575,R,AL_R,2,37,226
720575940640559165,7205759406405591651,CB1673_L,CB1673,L,AL_L,13,44,1485
720575940627132232,7205759406271322321,CB2571_L,CB2571,L,AL_L,36,168,1704
720575940627132232,7205759406271322322,CB2571_R,CB2571,R,AL_R,4,36,334
720575940639067108,7205759406390671081,v2LN3A1_b_L,v2LN3A1_b,L,AL_L,310,234,2086
720575940639067108,7205759406390671082,v2LN3A1_b_R,v2LN3A1_b,R,AL_R,5,40,300
720575940633156203,7205759406331562031,CB2527_L,CB2527,L,AL_L,3,30,477
720575940633156203,7205759406331562032,CB2527_R,CB2527,R,AL_R,18,70,1047
720575940626876945,7205759406268769451,CB2569_L,CB2569,L,AL_L,18,123,654
720575940626876945,7205759406268769452,CB2569_R,CB2569,R,AL_R,74,137,688
720575940618552443,7205759406185524431,CB3417_L,CB3417,L,AL_L,2,36,256
720575940618552443,7205759406185524432,CB3417_R,CB3417,R,AL_R,12,221,1779
720575940622224836,7205759406222248361,CB1668_L,CB1668,L,AL_L,82,272,885
720575940622224836,7205759406222248362,CB1668_R,CB1668,R,AL_R,28,74,381
