source_root_id,analysis_body_id,LN_instance,LN_type,analysis_hemisphere,analysis_neuropil,neuropil,n_synapses
720575940621086996,7205759406210869962,v2LN31_R,v2LN31,R,AL_R,VES_L,14
720575940621086996,7205759406210869962,v2LN31_R,v2LN31,R,AL_R,VES_R,5
720575940625177836,7205759406251778361,lLN9_L,lLN9,L,AL_L,AL_L,658
720575940625177836,7205759406251778361,lLN9_L,lLN9,L,AL_L,AL_R,80
720575940625177836,7205759406251778361,lLN9_L,lLN9,L,AL_L,CRE_R,25
720575940625177836,7205759406251778361,lLN9_L,lLN9,L,AL_L,EB,28
720575940625177836,7205759406251778361,lLN9_L,lLN9,L,AL_L,MB_ML_R,1
720575940625177836,7205759406251778362,lLN9_R,lLN9,R,AL_R,AL_L,658
720575940625177836,7205759406251778362,lLN9_R,lLN9,R,AL_R,AL_R,80
720575940625177836,7205759406251778362,lLN9_R,lLN9,R,AL_R,CRE_R,25
720575940625177836,7205759406251778362,lLN9_R,lLN9,R,AL_R,EB,28
720575940625177836,7205759406251778362,lLN9_R,lLN9,R,AL_R,MB_ML_R,1
720575940626624275,7205759406266242751,lLN2P_c_L,lLN2P_c,L,AL_L,AL_L,9494
720575940617938752,7205759406179387521,CB1473_L,CB1473,L,AL_L,AL_L,1679
720575940617938752,7205759406179387521,CB1473_L,CB1473,L,AL_L,GNG,13
720575940617938752,7205759406179387521,CB1473_L,CB1473,L,AL_L,LAL_L,2
720575940623636701,7205759406236367011,il3LN6_L,il3LN6,L,AL_L,AL_L,19814
720575940623636701,7205759406236367011,il3LN6_L,il3LN6,L,AL_L,AL_R,14577
720575940623636701,7205759406236367011,il3LN6_L,il3LN6,L,AL_L,CRE_L,17
720575940623636701,7205759406236367011,il3LN6_L,il3LN6,L,AL_L,FLA_L,1
720575940623636701,7205759406236367011,il3LN6_L,il3LN6,L,AL_L,GNG,803
720575940623636701,7205759406236367011,il3LN6_L,il3LN6,L,AL_L,LAL_L,16
720575940623636701,7205759406236367011,il3LN6_L,il3LN6,L,AL_L,LAL_R,10
720575940623636701,7205759406236367011,il3LN6_L,il3LN6,L,AL_L,SAD,2
720575940623636701,7205759406236367012,il3LN6_R,il3LN6,R,AL_R,AL_L,19814
720575940623636701,7205759406236367012,il3LN6_R,il3LN6,R,AL_R,AL_R,14577
720575940623636701,7205759406236367012,il3LN6_R,il3LN6,R,AL_R,CRE_L,17
720575940623636701,7205759406236367012,il3LN6_R,il3LN6,R,AL_R,FLA_L,1
720575940623636701,7205759406236367012,il3LN6_R,il3LN6,R,AL_R,GNG,803
720575940623636701,7205759406236367012,il3LN6_R,il3LN6,R,AL_R,LAL_L,16
720575940623636701,7205759406236367012,il3LN6_R,il3LN6,R,AL_R,LAL_R,10
720575940623636701,7205759406236367012,il3LN6_R,il3LN6,R,AL_R,SAD,2
720575940632000993,7205759406320009931,CB1546_L,CB1546,L,AL_L,AL_L,1619
720575940625977802,7205759406259778022,lLN2P_a_R,lLN2P_a,R,AL_R,AL_R,6748
720575940625977802,7205759406259778022,lLN2P_a_R,lLN2P_a,R,AL_R,LAL_R,1
720575940625119625,7205759406251196251,CB1668_L,CB1668,L,AL_L,AL_L,608
720575940625119625,7205759406251196251,CB1668_L,CB1668,L,AL_L,AL_R,409
720575940625119625,7205759406251196251,CB1668_L,CB1668,L,AL_L,LAL_R,1
720575940625119625,7205759406251196251,CB1668_L,CB1668,L,AL_L,,74
720575940625119625,7205759406251196252,CB1668_R,CB1668,R,AL_R,AL_L,608
720575940625119625,7205759406251196252,CB1668_R,CB1668,R,AL_R,AL_R,409
720575940625119625,7205759406251196252,CB1668_R,CB1668,R,AL_R,LAL_R,1
720575940625119625,7205759406251196252,CB1668_R,CB1668,R,AL_R,,74
720575940631618920,7205759406316189201,CB1673_L,CB1673,L,AL_L,AL_L,541
720575940631618920,7205759406316189201,CB1673_L,CB1673,L,AL_L,AL_R,1646
720575940631618920,7205759406316189201,CB1673_L,CB1673,L,AL_L,LAL_R,1
720575940631618920,7205759406316189201,CB1673_L,CB1673,L,AL_L,,18
720575940631618920,7205759406316189202,CB1673_R,CB1673,R,AL_R,AL_L,541
720575940631618920,7205759406316189202,CB1673_R,CB1673,R,AL_R,AL_R,1646
720575940631618920,7205759406316189202,CB1673_R,CB1673,R,AL_R,LAL_R,1
720575940631618920,7205759406316189202,CB1673_R,CB1673,R,AL_R,,18
720575940608362418,7205759406083624181,CB1676_L,CB1676,L,AL_L,AL_L,3538
720575940608362418,7205759406083624181,CB1676_L,CB1676,L,AL_L,AL_R,477
720575940608362418,7205759406083624181,CB1676_L,CB1676,L,AL_L,CRE_L,2
720575940608362418,7205759406083624181,CB1676_L,CB1676,L,AL_L,,1
720575940608362418,7205759406083624182,CB1676_R,CB1676,R,AL_R,AL_L,3538
720575940608362418,7205759406083624182,CB1676_R,CB1676,R,AL_R,AL_R,477
720575940608362418,7205759406083624182,CB1676_R,CB1676,R,AL_R,CRE_L,2
720575940608362418,7205759406083624182,CB1676_R,CB1676,R,AL_R,,1
720575940634962936,7205759406349629362,CB1686_R,CB1686,R,AL_R,AL_R,1312
720575940634962936,7205759406349629362,CB1686_R,CB1686,R,AL_R,VES_R,3
720575940623901695,7205759406239016951,CB1266_L,CB1266,L,AL_L,AL_L,6168
720575940623901695,7205759406239016951,CB1266_L,CB1266,L,AL_L,,77
720575940638775118,7205759406387751181,lLN8_L,lLN8,L,AL_L,AL_L,1817
720575940638775118,7205759406387751181,lLN8_L,lLN8,L,AL_L,AL_R,1452
720575940638775118,7205759406387751181,lLN8_L,lLN8,L,AL_L,EB,4
720575940638775118,7205759406387751181,lLN8_L,lLN8,L,AL_L,LAL_L,19
720575940638775118,7205759406387751181,lLN8_L,lLN8,L,AL_L,LAL_R,3
720575940638775118,7205759406387751182,lLN8_R,lLN8,R,AL_R,AL_L,1817
720575940638775118,7205759406387751182,lLN8_R,lLN8,R,AL_R,AL_R,1452
720575940638775118,7205759406387751182,lLN8_R,lLN8,R,AL_R,EB,4
720575940638775118,7205759406387751182,lLN8_R,lLN8,R,AL_R,LAL_L,19
720575940638775118,7205759406387751182,lLN8_R,lLN8,R,AL_R,LAL_R,3
720575940618304670,7205759406183046702,CB1824_R,CB1824,R,AL_R,AL_R,742
720575940618304670,7205759406183046702,CB1824_R,CB1824,R,AL_R,,34
720575940617205179,7205759406172051791,lLN2P_c_L,lLN2P_c,L,AL_L,AL_L,10563
720575940639892413,7205759406398924131,v2LN31_L,v2LN31,L,AL_L,AL_L,3496
720575940639892413,7205759406398924131,v2LN31_L,v2LN31,L,AL_L,AL_R,1274
720575940639892413,7205759406398924131,v2LN31_L,v2LN31,L,AL_L,LAL_L,2
720575940639892413,7205759406398924131,v2LN31_L,v2LN31,L,AL_L,NO,3
720575940639892413,7205759406398924131,v2LN31_L,v2LN31,L,AL_L,SAD,9
720575940639892413,7205759406398924131,v2LN31_L,v2LN31,L,AL_L,VES_R,8
720575940639892413,7205759406398924131,v2LN31_L,v2LN31,L,AL_L,,67
720575940630864170,7205759406308641701,CB1546_L,CB1546,L,AL_L,AL_L,2097
720575940631558113,7205759406315581132,CB1545_R,CB1545,R,AL_R,AL_R,1566
720575940631558113,7205759406315581132,CB1545_R,CB1545,R,AL_R,,23
720575940631497078,7205759406314970781,lLN2P_a_L,lLN2P_a,L,AL_L,AL_L,5981
720575940627066757,7205759406270667571,v2LN5_L,v2LN5,L,AL_L,AL_L,4742
720575940627066757,7205759406270667571,v2LN5_L,v2LN5,L,AL_L,AL_R,928
720575940627066757,7205759406270667571,v2LN5_L,v2LN5,L,AL_L,NO,3
720575940627066757,7205759406270667571,v2LN5_L,v2LN5,L,AL_L,SAD,4
