bodyId_pre,bodyId_post,weight,type_pre,type_post,instance_pre,instance_post,conn_roiInfo
1730996778,1700307582,23,v2LN3A,M_l2PNl21,v2LN3a_R,M_l2PNl21_R,"{'AL(R)': {'pre': 23, 'post': 23}, 'AL-DC1(R)': {'pre': 2, 'post': 2}, 'AL-DP1l(R)': {'pre': 2, 'post': 2}, 'AL-DP1m(R)': {'pre': 6, 'post': 6}, 'AL-VA3(R)': {'pre': 3, 'post': 3}, 'AL-VC1(R)': {'pre': 2, 'post': 2}, 'AL-VP1d(R)': {'pre': 1, 'post': 1}, 'AL-VA4(R)': {'pre': 2, 'post': 2}, 'AL-VC2(R)': {'pre': 2, 'post': 2}, 'AL-VA2(R)': {'pre': 1, 'post': 1}, 'AL-DL2v(R)': {'pre': 1, 'post': 1}, 'AL-VA7m(R)': {'pre': 1, 'post': 1}}"
755518957,1700307582,21,DM3_adPN,M_l2PNl21,DM3_adPN_R,M_l2PNl21_R,"{'AL(R)': {'pre': 21, 'post': 21}, 'AL-DM1(R)': {'pre': 5, 'post': 6}, 'AL-DC4(R)': {'pre': 5, 'post': 5}, 'AL-DC1(R)': {'pre': 4, 'post': 4}, 'AL-DM3(R)': {'pre': 7, 'post': 6}}"
1666578620,1700307582,21,ORN_DP1m,M_l2PNl21,ORN_DP1m_R,M_l2PNl21_R,"{'AL(R)': {'pre': 21, 'post': 21}, 'AL-DP1m(R)': {'pre': 21, 'post': 21}}"
1671620613,1693827279,21,v2LN30,M_adPNm8,v2LN30_R,M_adPNm8_R,"{'AL(R)': {'pre': 21, 'post': 21}, 'AL-DP1l(R)': {'pre': 13, 'post': 13}, 'AL-DL2v(R)': {'pre': 6, 'post': 6}, 'AL-VL2a(R)': {'pre': 2, 'post': 2}}"
1793692357,1693827279,21,ORN_DL2v,M_adPNm8,ORN_DL2v_R,M_adPNm8_R,"{'AL(R)': {'pre': 21, 'post': 21}, 'AL-DL2v(R)': {'pre': 16, 'post': 15}, 'AL-VL2a(R)': {'pre': 3, 'post': 3}, 'AL-DP1l(R)': {'pre': 2, 'post': 3}}"
1851393805,1447205602,21,VM7d_adPN,M_vPNml83,VM7d_adPN_R,M_vPNml83_R,"{'AL(R)': {'pre': 21, 'post': 21}, 'AL-VM7d(R)': {'pre': 14, 'post': 14}, 'AL-VC3l(R)': {'pre': 3, 'post': 3}, 'AL-VM7v(R)': {'pre': 4, 'post': 4}}"
1888199872,1700307582,21,v2LN3B,M_l2PNl21,v2LN3b_R,M_l2PNl21_R,"{'AL(R)': {'pre': 21, 'post': 21}, 'AL-VA4(R)': {'pre': 2, 'post': 2}, 'AL-DC4(R)': {'pre': 3, 'post': 3}, 'AL-DL2v(R)': {'pre': 3, 'post': 3}, 'AL-VC2(R)': {'pre': 3, 'post': 3}, 'AL-DC1(R)': {'pre': 2, 'post': 2}, 'AL-VC3l(R)': {'pre': 1, 'post': 1}, 'AL-DP1l(R)': {'pre': 1, 'post': 1}, 'AL-DP1m(R)': {'pre': 2, 'post': 2}, 'AL-D(R)': {'pre': 1, 'post': 1}, 'AL-DL5(R)': {'pre': 1, 'post': 1}, 'AL-DM3(R)': {'pre': 1, 'post': 1}, 'AL-VP1d(R)': {'pre': 1, 'post': 1}}"
2254503023,1700307582,21,,M_l2PNl21,,M_l2PNl21_R,"{'PENP': {'pre': 10, 'post': 10}, 'SAD': {'pre': 10, 'post': 10}, 'SAD(-AMMC)': {'pre': 10, 'post': 10}, 'GNG': {'pre': 7, 'post': 7}, 'VMNP': {'pre': 4, 'post': 4}, 'VES(R)': {'pre': 4, 'post': 4}}"
542634818,1700307582,20,DM1_lPN,M_l2PNl21,DM1_lPN_R,M_l2PNl21_R,"{'AL(R)': {'pre': 20, 'post': 20}, 'AL-DM1(R)': {'pre': 17, 'post': 17}, 'AL-DP1m(R)': {'pre': 2, 'post': 2}, 'AL-DC4(R)': {'pre': 1, 'post': 1}}"
728483069,1693827279,20,LHAV4a1_b,M_adPNm8,LHAV4a1_b_R,M_adPNm8_R,"{'LH(R)': {'pre': 20, 'post': 20}}"
