bodyId_pre,bodyId_post,weight,type_pre,type_post,instance_pre,instance_post,conn_roiInfo,input_glomerulus,mPN_type,mPN_instance
5812996943,1943811511,1,ORN_DA1,M_lvPNm31,ORN_DA1_L,M_lvPNm31_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-DA1(R)': {'pre': 1, 'post': 1}}",DA1,M_lvPNm31,M_lvPNm31_R
5812998438,609924156,1,ORN_VL2a,M_lvPNm39,ORN_VL2a_R,M_lvPNm39_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VL2a(R)': {'pre': 1, 'post': 1}}",VL2a,M_lvPNm39,M_lvPNm39_R
5812998445,1693827279,1,ORN_DP1l,M_adPNm8,ORN_DP1l_R,M_adPNm8_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-DP1l(R)': {'pre': 1, 'post': 1}}",DP1l,M_adPNm8,M_adPNm8_R
5812998466,609924156,1,ORN_VL2a,M_lvPNm39,ORN_VL2a_R,M_lvPNm39_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VL2p(R)': {'pre': 1, 'post': 1}}",VL2a,M_lvPNm39,M_lvPNm39_R
5812999657,2383731281,1,ORN_VA7m,M_vPNml51,ORN_VA7m,M_vPNml51_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VA3(R)': {'pre': 1, 'post': 1}}",VA7m,M_vPNml51,M_vPNml51_R
5813000296,609924156,1,ORN_VA3,M_lvPNm39,ORN_VA3,M_lvPNm39_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VA3(R)': {'pre': 1, 'post': 1}}",VA3,M_lvPNm39,M_lvPNm39_R
5813000296,1700307582,1,ORN_VA3,M_l2PNl21,ORN_VA3,M_l2PNl21_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VA3(R)': {'pre': 1, 'post': 1}}",VA3,M_l2PNl21,M_l2PNl21_R
5813001367,1671952694,1,ORN_VM5d,M_lvPNm24,ORN_VM5d,M_lvPNm24_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-DC2(R)': {'pre': 1, 'post': 1}}",VM5d,M_lvPNm24,M_lvPNm24_R
5813002333,609924156,1,ORN_VA3,M_lvPNm39,ORN_VA3,M_lvPNm39_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VA3(R)': {'pre': 1, 'post': 1}}",VA3,M_lvPNm39,M_lvPNm39_R
5813004203,609924156,1,ORN_VA3,M_lvPNm39,ORN_VA3,M_lvPNm39_R,"{'AL(R)': {'pre': 1, 'post': 1}, 'AL-VA3(R)': {'pre': 1, 'post': 1}}",VA3,M_lvPNm39,M_lvPNm39_R
