combined_LN_type,glomerulus,broad_LN_group,n_ln_body_ids,orn_input_total,pn_output_weight_total,mean_pn_output_percent,sum_pn_output_percent,contra_orn_preference_weighted,same_glomerulus_convergence_score,type_order,glomerulus_order
lLN2X04,DM1,other lLN,4,225.0,140.0,0.23660798359029958,0.9464319343611983,0.49333333333333335,0.01702037186218201,6,5
lLN2X04,VC5,other lLN,4,217.0,384.0,0.6554547971715418,2.621819188686167,0.5668202764976958,0.06933944295806994,6,6
lLN2X04,D,other lLN,4,212.0,348.0,0.58889249796063,2.35556999184252,0.7452830188679245,0.08025479428940589,6,7
lLN2X04,DL5,other lLN,3,164.0,99.0,0.2198661783352344,0.6595985350057032,0.6951219512195121,0.015807121545513888,6,8
lLN2X04,DP1l,other lLN,3,167.0,385.0,0.873933123250422,2.6217993697512663,0.6526946107784432,0.08174407885854298,6,10
lLN2X04,VM4,other lLN,3,310.0,133.0,0.2966630478338554,0.8899891435015661,0.8,0.02698032824152882,6,12
lLN2X04,VL2p,other lLN,4,221.0,230.0,0.3966975061830308,1.5867900247321232,0.6108597285067874,0.034922200654294744,6,13
lLN2X04,VC3m,other lLN,2,55.0,176.0,0.6057500496518005,1.211500099303601,0.7818181818181819,0.04224046679109009,6,14
lLN2X04,VA2,other lLN,3,113.0,117.0,0.2686057004396664,0.8058171013189993,0.8053097345132744,0.02435973326273661,6,15
lLN2X04,VC1,other lLN,4,170.0,222.0,0.3749134181709855,1.499653672683942,0.6352941176470588,0.03940785411331368,6,17
lLN2X04,VM1,other lLN,2,89.0,107.0,0.3540404214702688,0.7080808429405376,0.6629213483146067,0.020842682674851162,6,18
lLN2X04,VC2,other lLN,1,27.0,37.0,0.24650233177881412,0.24650233177881412,0.5555555555555556,0.004981519280104977,6,20
lLN2X04,DM6,other lLN,3,138.0,159.0,0.35315538575070965,1.059466157252129,0.5797101449275363,0.02320439253799543,6,21
lLN2X04,DA4m,other lLN,4,200.0,104.0,0.1767015562464767,0.7068062249859068,0.72,0.017502146758506438,6,22
lLN2X04,VM2,other lLN,2,79.0,30.0,0.0992256367610479,0.1984512735220958,0.5949367088607594,0.00346575908295452,6,25
lLN2X04,VA7m,other lLN,1,36.0,25.0,0.1665556295802798,0.1665556295802798,0.6666666666666666,0.003617695467489987,6,26
lLN2X04,VA3,other lLN,3,96.0,189.0,0.4320858339096278,1.2962575017288833,0.8333333333333334,0.04666821409142366,6,27
lLN2X04,DC4,other lLN,3,162.0,44.0,0.09795166306812492,0.29385498920437475,0.5432098765432098,0.003743741053419648,6,29
lLN2X04,DA2,other lLN,1,27.0,8.0,0.05329780146568954,0.05329780146568954,0.8518518518518519,0.0009975801866159953,6,30
lLN2X04,VC3l,other lLN,1,80.0,99.0,0.6689641191972431,0.6689641191972431,0.45,0.013863121277503176,6,36
lLN2X04,DM4,other lLN,3,109.0,206.0,0.4621328928039036,1.3863986784117108,0.46788990825688076,0.023649131497732123,6,37
lLN2X04,VM5d,other lLN,1,30.0,62.0,0.407572968708914,0.407572968708914,0.8666666666666667,0.014634790908368724,6,38
lLN2X04,VM5v,other lLN,2,75.0,57.0,0.19319267391839406,0.38638534783678813,0.68,0.007984313431162975,6,40
lLN2X04,VA1d,other lLN,1,29.0,68.0,0.4594905061152781,0.4594905061152781,0.3793103448275862,0.007379603154543877,6,43
lLN2X04,VM7d,other lLN,1,26.0,50.0,0.3378606662612339,0.3378606662612339,0.8461538461538461,0.011240385774498169,6,45
lLN2X04,DL2d,other lLN,1,29.0,42.0,0.27609781751249013,0.27609781751249013,0.7241379310344828,0.007519876553994854,6,46
lLN2X04,DL2v,other lLN,1,30.0,110.0,0.7231133315803313,0.7231133315803313,0.06666666666666667,0.0022703493826994334,6,47
lLN2X05,DP1m,other lLN,4,135.0,608.0,1.4944553765065998,5.977821506026399,0.7333333333333333,0.21860430390917293,7,0
lLN2X05,VA6,other lLN,3,130.0,158.0,0.5428586056396837,1.6285758169190512,0.7846153846153846,0.05213530454174954,7,2
lLN2X05,DC1,other lLN,4,167.0,271.0,0.6469550181581534,2.5878200726326135,0.7604790419161677,0.08856977887972999,7,4
lLN2X05,DM1,other lLN,2,118.0,179.0,0.8042610581779178,1.6085221163558356,0.4067796610169492,0.028951437262040792,7,5
lLN2X05,VC5,other lLN,1,25.0,66.0,0.5779840616516332,0.5779840616516332,0.68,0.0165256681634352,7,6
lLN2X05,D,other lLN,3,127.0,99.0,0.3002972218508323,0.9008916655524969,0.7795275590551181,0.024215222651098777,7,7
lLN2X05,DL5,other lLN,2,67.0,98.0,0.4857120683132943,0.9714241366265886,0.7014925373134329,0.027230590444062855,7,8
lLN2X05,DM2,other lLN,2,60.0,122.0,0.5522518108823177,1.1045036217646353,0.7333333333333333,0.03229276268056456,7,9
lLN2X05,VA2,other lLN,1,26.0,13.0,0.15472506546060463,0.15472506546060463,0.9230769230769231,0.0037691844745754706,7,15
lLN2X05,VM1,other lLN,1,58.0,30.0,0.35705784337062607,0.35705784337062607,0.5172413793103449,0.006342062407219611,7,18
lLN2X05,VC4,other lLN,1,29.0,33.0,0.3094813842258276,0.3094813842258276,0.7931034482758621,0.008655478461401063,7,19
lLN2X05,DM6,other lLN,1,28.0,24.0,0.22507737034605646,0.22507737034605646,0.7142857142857143,0.005174972186655915,7,21
lLN2X05,DC4,other lLN,4,175.0,129.0,0.307889515329968,1.231558061319872,0.4057142857142857,0.016860840489453147,7,29
lLN2X05,VM5d,other lLN,1,33.0,22.0,0.26184241847179246,0.26184241847179246,0.696969696969697,0.0057221587690526425,7,38
lLN2X05,VM7v,other lLN,1,25.0,14.0,0.13129513270186627,0.13129513270186627,-0.04,-0.00014222152420681215,7,39
lLN2X06,DP1m,other lLN,1,33.0,62.0,1.037483266398929,1.037483266398929,0.7575757575757576,0.03256388597778425,8,0
lLN2X06,VL2a,other lLN,2,127.0,74.0,0.6146196210333114,1.2292392420666227,0.9212598425196851,0.042554898215078366,8,1
lLN2X06,VC5,other lLN,3,189.0,103.0,0.6336646180281533,1.90099385408446,0.5555555555555556,0.03528339096210849,8,6
lLN2X06,DP1l,other lLN,3,457.0,209.0,1.2045010182047997,3.613503054614399,0.7636761487964989,0.11704881294700818,8,10
lLN2X06,VL2p,other lLN,3,275.0,96.0,0.5210664034533604,1.5631992103600814,0.5490909090909091,0.03779070622752122,8,13
v2LN30,DP1m,v2LN3,1,56.0,211.0,0.6390647242329709,0.6390647242329709,0.07142857142857142,0.0024451466646095614,9,0
v2LN30,VL2a,v2LN3,2,299.0,924.0,1.3635078946349761,2.7270157892699523,0.451505016722408,0.07705878276076158,9,1
v2LN30,VA6,v2LN3,2,249.0,934.0,1.3774492130310894,2.7548984260621787,0.4939759036144578,0.08370639514017422,9,2
v2LN30,DL1,v2LN3,1,30.0,133.0,0.402822788260593,0.402822788260593,0.26666666666666666,0.005261230625786482,9,3
v2LN30,DC1,v2LN3,2,165.0,1004.0,1.4804492213210967,2.9608984426421934,0.5757575757575758,0.10501454473965814,9,4
v2LN30,DM1,v2LN3,1,53.0,200.0,0.6057485537753279,0.6057485537753279,0.1320754716981132,0.004242883952453713,9,5
v2LN30,D,v2LN3,2,118.0,428.0,0.6301150208155515,1.260230041631103,0.8305084745762712,0.05443801749266955,9,7
v2LN30,DP1l,v2LN3,2,121.0,880.0,1.2986791468920948,2.5973582937841897,0.5041322314049587,0.07750251059951113,9,10
v2LN30,VM4,v2LN3,2,263.0,882.0,1.3037369319799272,2.6074738639598545,0.4372623574144487,0.06409392251102987,9,12
v2LN30,VC3m,v2LN3,2,80.0,378.0,0.5535698047229498,1.1071396094458996,0.6,0.03494411310638727,9,14
v2LN30,VA2,v2LN3,2,73.0,696.0,1.018381518414073,2.036763036828146,0.4794520547945205,0.056852060023127565,9,15
v2LN30,VM3,v2LN3,1,62.0,245.0,0.7052186177715092,0.7052186177715092,0.5483870967741935,0.02129092226917743,9,16
v2LN30,VC1,v2LN3,2,249.0,705.0,1.040202179865357,2.080404359730714,0.14056224899598393,0.013436599092011545,9,17
v2LN30,VC4,v2LN3,1,42.0,116.0,0.3338994271897758,0.3338994271897758,0.7619047619047619,0.01211494970672039,9,19
v2LN30,VC2,v2LN3,2,143.0,372.0,0.5477901638990623,1.0955803277981246,0.5664335664335665,0.03198681694927522,9,20
v2LN30,DM6,v2LN3,2,71.0,326.0,0.4827883625769457,0.9655767251538914,0.4084507042253521,0.02508687738817709,9,21
v2LN30,VA4,v2LN3,2,237.0,473.0,0.6921746061584092,1.3843492123168184,0.3670886075949367,0.02899592163522751,9,23
v2LN30,DM3,v2LN3,2,61.0,81.0,0.2453281642790078,0.2453281642790078,0.5409836065573771,0.007722088167316503,9,24
v2LN30,VM2,v2LN3,2,84.0,218.0,0.3193865524886409,0.6387731049772818,0.38095238095238093,0.011307890516798879,9,25
v2LN30,DA2,v2LN3,1,28.0,192.0,0.5526611208658357,0.5526611208658357,0.9285714285714286,0.02700735382957682,9,30
v2LN30,VA7l,v2LN3,1,30.0,143.0,0.4116173973115339,0.4116173973115339,0.0,0.0,9,32
v2LN30,DA4l,v2LN3,2,78.0,185.0,0.2733952317245706,0.5467904634491412,0.6923076923076923,0.018020494675252147,9,34
v2LN30,DA3,v2LN3,1,61.0,10.0,0.03028742768876639,0.03028742768876639,0.04918032786885246,3.571774410497479e-05,9,35
v2LN30,DA1,v2LN3,2,780.0,1953.0,2.876405621049816,5.752811242099632,0.4,0.15552575562034926,9,41
v2LN30,DL3,v2LN3,2,66.0,506.0,0.7482359888017402,1.4964719776034805,0.6666666666666666,0.05579191449671155,9,42
v2LN30,VA1d,v2LN3,2,87.0,449.0,0.6669518508283867,1.3339037016567734,0.5402298850574713,0.03889932890719583,9,43
v2LN30,DL2d,v2LN3,2,205.0,629.0,0.9313473810359449,1.8626947620718899,0.3463414634146341,0.02703901821724639,9,46
v2LN30,DL2v,v2LN3,2,151.0,767.0,1.1340932057005326,2.2681864114010653,0.48344370860927155,0.05706086837696686,9,47
lLN2T,DP1m,lLN2T,14,4328.0,3302.0,1.744607883634151,24.424510370878114,0.5526802218114603,0.6571607023129162,10,0
lLN2T,VL2a,lLN2T,17,1496.0,657.0,0.27509838428065714,4.676672532771171,0.7005347593582888,0.13513564136249476,10,1
lLN2T,VA6,lLN2T,17,1814.0,780.0,0.3216031076259103,5.467252829640476,0.6449834619625138,0.12860934940941587,10,2
lLN2T,DL1,lLN2T,7,1264.0,518.0,0.4657875445404697,3.260512811783288,0.5474683544303798,0.07855397250319453,10,3
lLN2T,DC1,lLN2T,10,1525.0,845.0,0.5529322592729258,5.529322592729258,0.4321311475409836,0.05253916969455366,10,4
lLN2T,DM1,lLN2T,18,4107.0,1488.0,0.5884741968089257,10.592535542560661,0.4526418310202094,0.15280688706331244,10,5
lLN2T,VC5,lLN2T,4,314.0,326.0,0.5366895335369598,2.1467581341478392,0.6815286624203821,0.05938656905100513,10,6
lLN2T,D,lLN2T,9,1081.0,346.0,0.238285049373934,2.144565444365406,0.6540240518038853,0.05810996122865399,10,7
lLN2T,DL5,lLN2T,13,1557.0,586.0,0.30448491245990306,3.95830386197874,0.43352601156069365,0.06536328033753196,10,8
lLN2T,DM2,lLN2T,16,1767.0,1084.0,0.4644648090320627,7.4314369445130035,0.47594793435200905,0.1368144249399278,10,9
lLN2T,DP1l,lLN2T,14,1722.0,1288.0,0.6901852474989335,9.662593464985068,0.5516840882694541,0.21510159299855514,10,10
lLN2T,DC2,lLN2T,7,744.0,401.0,0.3710805371792968,2.5975637602550776,0.728494623655914,0.07648896170394814,10,11
lLN2T,VM4,lLN2T,6,448.0,175.0,0.1992866679382667,1.1957200076296002,0.6607142857142857,0.028477968412426044,10,12
lLN2T,VL2p,lLN2T,11,812.0,317.0,0.2825734637829737,2.2605877102637897,0.6108374384236454,0.050938778334651325,10,13
lLN2T,VC3m,lLN2T,8,781.0,269.0,0.2104055297473964,1.6832442379791712,0.4980793854033291,0.03285832788776592,10,14
lLN2T,VA2,lLN2T,15,1461.0,535.0,0.26444849874956344,3.966727481243452,0.5783709787816564,0.06398868017692141,10,15
lLN2T,VM3,lLN2T,8,455.0,210.0,0.19463400477286563,1.557072038182925,0.6703296703296703,0.03476893073677119,10,16
lLN2T,VC1,lLN2T,8,824.0,254.0,0.21099720360155721,1.6879776288124577,0.42961165048543687,0.025916326918720662,10,17
lLN2T,VM1,lLN2T,5,339.0,240.0,0.31570150906938,1.5785075453469,0.504424778761062,0.03259593775560879,10,18
lLN2T,VC4,lLN2T,6,430.0,150.0,0.15218285578838694,0.9130971347303216,0.6790697674418604,0.02108572283567085,10,19
lLN2T,VC2,lLN2T,8,667.0,270.0,0.21552173620548387,1.724173889643871,0.5712143928035982,0.03960549431977784,10,20
lLN2T,DM6,lLN2T,14,1098.0,393.0,0.19653857518937015,2.751540052651182,0.4007285974499089,0.03558508455913268,10,21
lLN2T,DA4m,lLN2T,2,156.0,23.0,0.06902882583588932,0.13805765167177864,0.7564102564102564,0.002660012710349849,10,22
lLN2T,VA4,lLN2T,10,737.0,209.0,0.15528591742118328,1.5528591742118327,0.4626865671641791,0.02160332879209465,10,23
lLN2T,DM3,lLN2T,13,1030.0,200.0,0.24618326012047356,1.4770995607228414,0.40194174757281553,0.019443503636329386,10,24
lLN2T,VM2,lLN2T,7,426.0,95.0,0.0992509089333241,0.6947563625332687,0.4835680751173709,0.008797889624019992,10,25
lLN2T,VA7m,lLN2T,4,232.0,89.0,0.13708793038915185,0.5483517215566074,0.5689655172413793,0.00947708921314044,10,26
lLN2T,VA3,lLN2T,10,725.0,262.0,0.19037416163689724,1.9037416163689724,0.6717241379310345,0.044128100385423724,10,27
lLN2T,DM5,lLN2T,4,218.0,62.0,0.10430098266614282,0.4172039306645713,0.5963302752293578,0.0071647133905039795,10,28
lLN2T,DC4,lLN2T,10,1070.0,79.0,0.059395660744330496,0.5345609466989745,0.497196261682243,0.004499988655611764,10,29
lLN2T,DA2,lLN2T,4,281.0,78.0,0.1379527196811674,0.5518108787246696,0.18861209964412812,0.0027718216284410447,10,30
lLN2T,DL4,lLN2T,5,460.0,138.0,0.17177611026095693,0.8588805513047847,0.391304347826087,0.011146127554710901,10,31
lLN2T,VA7l,lLN2T,1,66.0,14.0,0.08504951096531195,0.08504951096531195,0.3939393939393939,0.0009073146935007119,10,32
lLN2T,VA5,lLN2T,1,30.0,18.0,0.1072066706372841,0.1072066706372841,0.8,0.002525307998808621,10,33
lLN2T,DA4l,lLN2T,3,235.0,57.0,0.12016098746232777,0.3604829623869833,0.5404255319148936,0.005693984726832789,10,34
lLN2T,DA3,lLN2T,2,74.0,4.0,0.012030891215466636,0.024061782430933272,0.7297297297297297,0.00019991812823309834,10,35
