combined_LN_type,broad_LN_group,glomerulus,n_ln_body_ids,orn_input_total,ipsi_orn_input_total,contra_orn_input_total,contra_orn_preference_weighted,contra_orn_preference_unweighted,source_LN_instances,combined_LN_type_mean_preference,type_order
lLN2X12,other lLN,DL5,13,634.0,99.0,535.0,0.6876971608832808,0.6898242761341836,lLN2X12_L;lLN2X12_R,0.6944524110101687,5
lLN2X12,other lLN,DM1,9,360.0,74.0,286.0,0.5888888888888889,0.5898976647372025,lLN2X12_L;lLN2X12_R,0.6944524110101687,5
lLN2X12,other lLN,DM4,1,29.0,16.0,13.0,-0.10344827586206896,-0.10344827586206896,lLN2X12_L,0.6944524110101687,5
lLN2X12,other lLN,DP1l,13,598.0,55.0,543.0,0.8160535117056856,0.8170259370939603,lLN2X12_L;lLN2X12_R,0.6944524110101687,5
lLN2X12,other lLN,DP1m,13,897.0,139.0,758.0,0.6900780379041248,0.7026685001191907,lLN2X12_L;lLN2X12_R,0.6944524110101687,5
lLN2X12,other lLN,VA4,1,39.0,10.0,29.0,0.48717948717948717,0.48717948717948717,lLN2X12_L,0.6944524110101687,5
lLN2X12,other lLN,VA6,11,426.0,28.0,398.0,0.8685446009389671,0.8636253564055757,lLN2X12_L;lLN2X12_R,0.6944524110101687,5
lLN2X12,other lLN,VC1,4,113.0,18.0,95.0,0.6814159292035398,0.7039756592292089,lLN2X12_L;lLN2X12_R,0.6944524110101687,5
lLN2X12,other lLN,VC3l,1,201.0,51.0,150.0,0.4925373134328358,0.4925373134328358,lLN2X12_L,0.6944524110101687,5
lLN2X12,other lLN,VC5,8,325.0,36.0,289.0,0.7784615384615384,0.7810968835657615,lLN2X12_L;lLN2X12_R,0.6944524110101687,5
lLN2X12,other lLN,VL2a,13,587.0,26.0,561.0,0.9114139693356048,0.9088568891853336,lLN2X12_L;lLN2X12_R,0.6944524110101687,5
lLN2X12,other lLN,VL2p,10,352.0,36.0,316.0,0.7954545454545454,0.8076238371598403,lLN2X12_L;lLN2X12_R,0.6944524110101687,5
lLN2X12,other lLN,VM1,2,62.0,4.0,58.0,0.8709677419354839,0.8918918918918919,lLN2X12_L,0.6944524110101687,5
lLN2X12,other lLN,VM4,1,29.0,3.0,26.0,0.7931034482758621,0.7931034482758621,lLN2X12_L,0.6944524110101687,5
lLN2X12,other lLN,VM5d,2,56.0,9.0,47.0,0.6785714285714286,0.7019354838709677,lLN2X12_L;lLN2X12_R,0.6944524110101687,5
lLN2X12,other lLN,VM5v,1,26.0,3.0,23.0,0.7692307692307693,0.7692307692307693,lLN2X12_L,0.6944524110101687,5
lLN2X12,other lLN,VM7d,2,71.0,20.0,51.0,0.43661971830985913,0.4585365853658536,lLN2X12_L;lLN2X12_R,0.6944524110101687,5
lLN2X12,other lLN,VM7v,2,63.0,27.0,36.0,0.14285714285714285,0.13995943204868155,lLN2X12_L,0.6944524110101687,5
lLN2X11,other lLN,D,1,28.0,3.0,25.0,0.7857142857142857,0.7857142857142857,lLN2X11_L,0.6842742955243892,6
lLN2X11,other lLN,DA2,3,110.0,33.0,77.0,0.4,0.436505885730692,lLN2X11_L;lLN2X11_R,0.6842742955243892,6
lLN2X11,other lLN,DC1,3,105.0,4.0,101.0,0.9238095238095239,0.9231584525702173,lLN2X11_L;lLN2X11_R,0.6842742955243892,6
lLN2X11,other lLN,DC2,1,30.0,3.0,27.0,0.8,0.8,lLN2X11_L,0.6842742955243892,6
lLN2X11,other lLN,DC4,1,25.0,6.0,19.0,0.52,0.52,lLN2X11_R,0.6842742955243892,6
lLN2X11,other lLN,DL1,4,158.0,27.0,131.0,0.6582278481012658,0.6593167701863354,lLN2X11_L;lLN2X11_R,0.6842742955243892,6
lLN2X11,other lLN,DL2d,2,88.0,6.0,82.0,0.8636363636363636,0.8457042665108124,lLN2X11_L;lLN2X11_R,0.6842742955243892,6
lLN2X11,other lLN,DL2v,1,28.0,4.0,24.0,0.7142857142857143,0.7142857142857143,lLN2X11_R,0.6842742955243892,6
lLN2X11,other lLN,DL5,4,229.0,52.0,177.0,0.5458515283842795,0.5602198099571843,lLN2X11_L;lLN2X11_R,0.6842742955243892,6
lLN2X11,other lLN,DM1,2,53.0,15.0,38.0,0.4339622641509434,0.4358974358974359,lLN2X11_L;lLN2X11_R,0.6842742955243892,6
lLN2X11,other lLN,DM2,1,29.0,6.0,23.0,0.5862068965517241,0.5862068965517241,lLN2X11_L,0.6842742955243892,6
lLN2X11,other lLN,DM4,1,25.0,7.0,18.0,0.44,0.44,lLN2X11_L,0.6842742955243892,6
lLN2X11,other lLN,DM6,1,25.0,2.0,23.0,0.84,0.84,lLN2X11_R,0.6842742955243892,6
lLN2X11,other lLN,DP1l,4,230.0,28.0,202.0,0.7565217391304347,0.7489670003328128,lLN2X11_L;lLN2X11_R,0.6842742955243892,6
